model,dataset,metric,method,correction,prr_score
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP,DEG3,0.3399111682306927
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP,DEG3,0.36361707972632606
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP,DEG3,0.3986402264665712
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL,RAW,0.4245027775029517
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL,RAW,0.4711480119748819
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL,RAW,0.40525993581904507
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL,RAW,0.32557965810185086
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL,RAW,0.41855422914325036
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL,RAW,0.40768056204746056
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL,RAW,0.330852150013128
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL,RAW,0.34027811675889136
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL,DEG1,0.42910825963028265
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL,DEG1,0.4785788681526844
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL,DEG1,0.4274400894545415
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL,DEG1,0.3295557448846372
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL,DEG1,0.4269930151999155
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL,DEG1,0.40715860536573206
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL,DEG1,0.3419220043985734
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL,DEG1,0.3709505082195683
Gemma 2 9B,wmt14_csen,MetricX XXL,PPL,DEG2,0.42763247906993296
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL,DEG2,0.47918249604879753
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL,DEG2,0.41378252374354807
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL,DEG2,0.3245187568044643
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL,DEG2,0.4241232961287791
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL,DEG2,0.40459321370296697
