model,dataset,metric,method,prr_score
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE-LINE,0.37304794798571767
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE,0.35006489276103253
Gemma 2 9B,wmt19_ruen,MetricX XXL,MTE-LINE,0.41376491640088653
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE,0.11043036660721543
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE-LINE,0.3076370325555125
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE,0.15450863276785132
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE-LINE,0.35941875370017035
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE,0.21331033586477557
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE-LINE,0.3281135577840669
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE,0.12039230309261066
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE-LINE,0.27635624414683424
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE,0.20092711545519598
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE-LINE,0.40062622084257793
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE,-0.026988033407255686
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE-LINE,0.26597296218259153
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE,0.17216936226905086
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE-LINE,0.24542374647670306
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE,0.22853798916905285
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE-LINE,0.35161022207245135
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE,0.38286385371253284
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE-LINE,0.3832919278968765
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE,0.43089036627225524
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE-LINE,0.43034005526406904
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE,0.402494513128116
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE-LINE,0.41255875989100316
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE,0.3301084057838703
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE-LINE,0.33313650708094805
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE,0.429129299681221
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE-LINE,0.43641309608783435
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE,0.36280167581839434
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE-LINE,0.36366098932118146
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE,0.3191150499782459
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE-LINE,0.31891306058891905
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE,0.38112168888076786
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE-LINE,0.3971453412237721
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL,0.34627293301714945
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL-LINE,0.34647158813466866
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL,0.38299217962201315
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL-LINE,0.3847488173301997
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL,0.3628012795189854
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL-LINE,0.3664191890919645
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL,0.26359125518091653
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL-LINE,0.26403013740208625
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL,0.36225217367285373
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL-LINE,0.3583313796102604
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL,0.3387766817466965
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL-LINE,0.3607088401717293
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL,0.3436729661315034
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL-LINE,0.308912728857937
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL,0.33533046778155207
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL-LINE,0.34298703927814317
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP,0.12700382512990865
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP-LINE,0.32359139363080214
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP,0.22559679349277145
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP-LINE,0.44352328238819305
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP,0.29687118150047254
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP-LINE,0.44546590244963163
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP,0.11109451574567548
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP-LINE,0.26516389283121744
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP,0.23033400228495907
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP-LINE,0.42759413896403187
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP,0.040943163845878386
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP-LINE,0.33866520171379744
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP,0.1549509011660918
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP-LINE,0.31194635390086134
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP,0.28354586045070035
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP-LINE,0.37891106931488583
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL,0.5116119290639901
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL-LINE,0.5153191335103722
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL,0.521115545177528
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL-LINE,0.5289613756477444
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL,0.45357522426002017
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL-LINE,0.45752115457536285
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL,0.4149389881059363
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL-LINE,0.41888923236120224
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL,0.4806841454780032
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL-LINE,0.48328725170232084
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL,0.4446047650798497
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL-LINE,0.43571946762928426
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL,0.402737876232832
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL-LINE,0.4226427303751648
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL,0.33443638790225294
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL-LINE,0.3714311451009224
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE,0.5410824113990269
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE-LINE,0.5480760625003246
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE,0.5369597833860931
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE-LINE,0.546957301086226
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE,0.4767313544208524
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE-LINE,0.4699018119849414
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE,0.45554973110456354
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE-LINE,0.4647862764381547
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE,0.49780141610962986
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE-LINE,0.5124161123265054
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE,0.48582598594548343
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE-LINE,0.4702348705053137
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE,0.42394083864825444
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE-LINE,0.4667401094416379
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE,0.36113171647000497
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE-LINE,0.4198125846980801
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE,0.19992344902846323
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE-LINE,0.41747918627963587
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE,0.236851242847467
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE-LINE,0.4205264689386264
